50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0d4b7837-c9b2-4ffe-9f97-8e01b0478e91,1,,,3920401,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guinea,4892,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 182573, 'name': 'Ibrahim Kone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 176683, 'name': 'Ibrahim Diakité'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 4267, 'name': 'Mouctar Diakhaby'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7360, 'name': 'Julian Jeanvier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3138, 'name': 'Abdoulaye Touré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 39073, 'name': 'Moriba Kourouma Kourouma'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 47351, 'name': 'Morgan Guilavogui'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 39559, 'name': 'Aguibou Camara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 132711, 'name': 'Sekou Oumar Sylla'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 8454, 'name': 'Mohamed Bayo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Guinea,4892,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e6be3422-cfdf-43de-8d99-11cbe79f5aad,2,,,3920401,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guinea,4892,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 185579, 'name': 'Baboucarr Gaye'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 3417, 'name': 'Saidy Janko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 35689, 'name': 'James Gomez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 12498, 'name': 'Omar Colley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 47762, 'name': 'Jacob Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 26825, 'name': 'Noah Sonko-Sundberg'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 50501, 'name': 'Ebrima Darboe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 33342, 'name': 'Ebrima Colley'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 44311, 'name': 'Alieu Fadera'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 4471, 'name': 'Ablie Jallow'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 3}, {'player': {'id': 6988, 'name': 'Musa Barrow'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Gambia,4934,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,664e4f1f-6087-46e6-bfd7-d5c966fcd0c2,3,,,3920401,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guinea,4892,['cdf6d643-1e27-4d5c-8b82-cd949a5a3ba3'],0,,,,,,,,,,,,,,,,,Guinea,4892,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cdf6d643-1e27-4d5c-8b82-cd949a5a3ba3,4,,,3920401,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guinea,4892,['664e4f1f-6087-46e6-bfd7-d5c966fcd0c2'],0,,,,,,,,,,,,,,,,,Gambia,4934,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8add2e5d-d36a-4375-8036-2e0911406a48,1625,,,3920401,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,77,Gambia,4934,['d56c3ec3-5214-4ec2-b7bf-91b276628ed1'],0,,,,,,,,,,,,,,,,,Guinea,4892,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d56c3ec3-5214-4ec2-b7bf-91b276628ed1,1626,,,3920401,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,77,Gambia,4934,['8add2e5d-d36a-4375-8036-2e0911406a48'],0,,,,,,,,,,,,,,,,,Gambia,4934,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.427827,,,,,,,,,,,,,275a3c1c-2d99-4e8e-9214-a084a9b2f888,5,,"[61.0, 40.1]",3920401,0,,,,,-1.9347752,,Right Foot,,,"[60.2, 38.0]",,Ground Pass,,2.2472205,,,,Moriba Kourouma Kourouma,39073.0,,,,,,Kick Off,1,From Kick Off,Mohamed Bayo,8454.0,Center Forward,2,Guinea,4892,['a80dc4ff-620f-4d39-8ef7-c53456d2f694'],0,,,,,,,,,,,,,,,,,Guinea,4892,00:00:00.302,Pass,
,,,,,,,,,,,,,,,,,,1.171881,,,,,,,,,,,,,61709d66-6bcd-4ea3-b9de-8bad5516f1e3,9,,"[58.6, 40.5]",3920401,0,,,,,-2.4134567,,Right Foot,,,"[50.3, 33.1]",,Ground Pass,,11.119802,,,,Abdoulaye Touré,3138.0,,,,,,,1,From Kick Off,Moriba Kourouma Kourouma,39073.0,Left Defensive Midfield,2,Guinea,4892,"['71ebe474-25eb-4c23-9308-81fe06067be5', 'dad9f1e5-3818-4f22-9b7f-960a718a0410']",4,,,,,,,,,,,,,,,,,Guinea,4892,00:00:04.485,Pass,True
,,,,,,,,,,,,,,,,,,1.264246,,,,,,,,,,,,,6f8149d7-094a-42d6-9b1e-ba327955f26b,12,,"[50.3, 33.1]",3920401,0,,,,,-1.5150167,,Right Foot,,,"[51.4, 13.4]",,Ground Pass,,19.730686,,,,Issiaga Sylla,4352.0,,,,,,,1,From Kick Off,Abdoulaye Touré,3138.0,Right Defensive Midfield,2,Guinea,4892,['d2d04490-2797-4371-a2dc-9d523a386dd7'],5,,,,,,,,,,,,,,,,,Guinea,4892,00:00:05.713,Pass,
,,,,,,,,,,,,,,,,,,2.412195,,,,,,,,,,,,,2c18507a-95f9-45d4-8fe5-48b60fb755ee,15,,"[52.6, 10.9]",3920401,0,,,,,0.28432006,,Left Foot,,,"[96.4, 23.7]",,High Pass,,45.632008,,Incomplete,,Mohamed Bayo,8454.0,,,,,,,1,From Kick Off,Issiaga Sylla,4352.0,Left Back,2,Guinea,4892,"['c13ca254-6012-4ba4-a045-f8ecd42023e9', 'd27b6612-eca4-4e66-be32-3ff007981e87']",8,,,,,,,,,,,,,,,,,Guinea,4892,00:00:08.543,Pass,
